label,seed,mode,evaluations,best,final,best_at,k_final,rho_best
adaptive,1,functional,38,0.006311856059104503,0.022780566487885005,20,4,0.10965913721231157
fixed0.05,1,functional,38,0.007323562473197403,0.015919705646530898,27,4,0.05
fixed0.1,1,functional,38,0.003841089516878601,0.06075809529523632,33,4,0.1
fixed0.2,1,functional,38,0.029855362459361105,0.8582746297975612,23,4,0.2
fixed0.4,1,functional,38,0.09068064182792998,0.18969255547195904,12,4,0.4
